ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
1133,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1134,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1135,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1136,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1137,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1138,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
1139,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1140,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
1141,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1142,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1143,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1144,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1145,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1146,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
1147,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
1148,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
1149,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
1150,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
1151,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
1152,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
1153,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
1154,4A,"Coily - Soft, tightly coiled S-pattern",Low Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
